region,region_ja,timezone,city,country,city_ja,country_ja
America,アメリカ,America/Chicago,Chicago,U.S.A.,シカゴ,米国
America,アメリカ,America/Chihuahua,Chihuahua,Mexico,チワワ,メキシコ
America,アメリカ,America/Costa_Rica,San José,Costa Rica,サンホセ,コスタリカ
America,アメリカ,America/Creston,Creston,Canada,クレストン,カナダ
America,アメリカ,America/Cuiaba,Cuiaba,Brazil,クイアバ,ブラジル
America,アメリカ,America/Curacao,Willemstad,Curacao,ウィレムスタット,キュラソー
America,アメリカ,America/Danmarkshavn,Danmarkshavn,Greenland,デンマークシャウン,グリーンランド
America,アメリカ,America/Dawson,Dawson City,Canada,ドーソンシティ,カナダ
America,アメリカ,America/Dawson_Creek,Dawson Creek,Canada,ドーソンクリーク,カナダ
America,アメリカ,America/Denver,Denver,U.S.A.,デンバー,米国
America,アメリカ,America/Detroit,Detroit,U.S.A.,デトロイト,米国
America,アメリカ,America/Dominica,Roseau,Dominica,ロゾー,ドミニカ
America,アメリカ,America/Edmonton,Edmonton,Canada,エドモントン,カナダ
America,アメリカ,America/Eirunepe,Eirunepe,Brazil,エイルネペ,ブラジル
America,アメリカ,America/El_Salvador,San Salvador,El Salvador,サンサルバドル,エルサルバドル
America,アメリカ,America/Fort_Nelson,Fort Nelson,Canada,フォート・ネルソン,カナダ
America,アメリカ,America/Fortaleza,Fortaleza,Brazil,フォルタレザ,ブラジル
America,アメリカ,America/Glace_Bay,Glace Bay,Canada,グレースベイ,カナダ
America,アメリカ,America/Godthab,Nuuk,Greenland,ヌーク,グリーンランド
America,アメリカ,America/Goose_Bay,Happy Valley-Goose Bay,Canada,ハッピーバレー・グースベイ,カナダ
America,アメリカ,America/Grand_Turk,Cockburn Town,Turks and Caicos Islands,コックバーン・タウン,タークスおよびカイコス諸島
America,アメリカ,America/Grenada,St. George’s,Grenada,セントジョージ,グレナダ
America,アメリカ,America/Guadeloupe,Basse-Terre,Guadeloupe,バステール,グアドループ
America,アメリカ,America/Guatemala,Guatemala City,Guatemala,グアテマラシティ,グアテマラ
America,アメリカ,America/Guayaquil,Guayaquil,Ecuador,グアヤキル,エクアドル
America,アメリカ,America/Guyana,Georgetown,Guyana,ジョージタウン,ガイアナ
America,アメリカ,America/Halifax,Halifax,Canada,ハリファクス,カナダ
America,アメリカ,America/Havana,Havana,Cuba,ハバナ,キューバ
America,アメリカ,America/Hermosillo,Hermosillo,Mexico,エルモシヨ,メキシコ
America,アメリカ,America/Indiana/Indianapolis,Indianapolis,U.S.A.,インディアナポリス,米国
America,アメリカ,America/Indiana/Knox,Knox,U.S.A.,ノックス,米国
America,アメリカ,America/Indiana/Marengo,Marengo,U.S.A.,マレンゴ,米国
America,アメリカ,America/Indiana/Petersburg,Petersburg,U.S.A.,ピータースバーグ,米国
America,アメリカ,America/Indiana/Tell_City,Tell City,U.S.A.,テルシティ,米国
America,アメリカ,America/Indiana/Vevay,Vevay,U.S.A.,ビベイ,米国
America,アメリカ,America/Indiana/Vincennes,Vincennes,U.S.A.,ビンセンス,米国
America,アメリカ,America/Indiana/Winamac,Winamac,U.S.A.,ウィナマク,米国
America,アメリカ,America/Inuvik,Inuvik,Canada,イヌヴィク,カナダ
America,アメリカ,America/Iqaluit,Iqaluit,Canada,イカルイト,カナダ
America,アメリカ,America/Jamaica,Kingston,Jamaica,キングストン,ジャマイカ
America,アメリカ,America/Juneau,Juneau,U.S.A.,ジュノー,米国
America,アメリカ,America/Kentucky/Louisville,Louisville,U.S.A.,ルイビル,米国
America,アメリカ,America/Kentucky/Monticello,Monticello,U.S.A.,モンティチェロ,米国
America,アメリカ,America/Kralendijk,Kralendijk,Bonaire,クラレンダイク,ボネール
America,アメリカ,America/La_Paz,La Paz,Bolivia,ラ・パス,ボリビア
America,アメリカ,America/Lima,Lima,Peru,リマ,ペルー
America,アメリカ,America/Los_Angeles,Los Angeles,U.S.A.,ロサンゼルス,米国
America,アメリカ,America/Los_Angeles,San Francisco,U.S.A.,サンフランシスコ,米国
America,アメリカ,America/Lower_Princes,Lower Prince's Quarter,Sint Maarten,ローワー・プリンセズ・クウォーター,シント・マールテン
America,アメリカ,America/Maceio,Maceio,Brazil,マセイオ,ブラジル
America,アメリカ,America/Managua,Managua,Nicaragua,マナグア,ニカラグア
America,アメリカ,America/Manaus,Manaus,Brazil,マナウス,ブラジル
America,アメリカ,America/Marigot,Marigot,Saint Martin,マリゴ,サンマルタン
America,アメリカ,America/Martinique,Fort-de-France,Martinique,フォール・ド・フランス,マルティニーク
America,アメリカ,America/Matamoros,Matamoros,Mexico,マタモロス,メキシコ
America,アメリカ,America/Mazatlan,Mazatlán,Mexico,マサトラン,メキシコ
America,アメリカ,America/Menominee,Menominee,U.S.A.,メノミニー,米国
America,アメリカ,America/Merida,Mérida,Mexico,メリダ,メキシコ
America,アメリカ,America/Metlakatla,Metlakatla,U.S.A.,メトラカトラ,米国
America,アメリカ,America/Mexico_City,Mexico City,Mexico,メキシコシティ,メキシコ
America,アメリカ,America/Miquelon,Miquelon,Saint Pierre and Miquelon,ミクロン,サンピエール・ミクロン
America,アメリカ,America/Moncton,Moncton,Canada,モンクトン,カナダ
America,アメリカ,America/Monterrey,Monterrey,Mexico,モンテレー,メキシコ
America,アメリカ,America/Montevideo,Montevideo,Uruguay,モンテビデオ,ウルグアイ
America,アメリカ,America/Montreal,Montreal,Canada,モントリオール,カナダ
America,アメリカ,America/Montserrat,Little Bay,Montserrat,リトル・ベイ,モントセラト
America,アメリカ,America/Nassau,Nassau,Bahamas,ナッソー,バハマ
America,アメリカ,America/New_York,New York,U.S.A.,ニューヨーク,米国
America,アメリカ,America/Nipigon,Nipigon,Canada,ニピゴン,カナダ
America,アメリカ,America/Nome,Nome,U.S.A.,ノーメ,米国
America,アメリカ,America/Noronha,Fernando de Noronha,Brazil,フェルナンド・デ・ノローニャ,ブラジル
America,アメリカ,America/North_Dakota/Beulah,Beulah,U.S.A.,ベウラ,米国
America,アメリカ,America/North_Dakota/Center,Center,U.S.A.,センター,米国
America,アメリカ,America/North_Dakota/New_Salem,New Salem,U.S.A.,ニューサレム,米国
America,アメリカ,America/Ojinaga,Ojinaga,Mexico,オヒナガ,メキシコ
America,アメリカ,America/Panama,Panama City,Panama,パナマシティ,パナマ
America,アメリカ,America/Pangnirtung,Pangnirtung,Canada,パンナータング,カナダ
America,アメリカ,America/Paramaribo,Paramaribo,Surinam,パラマリボ,スリナム
America,アメリカ,America/Phoenix,Phoenix,U.S.A.,フェニックス,米国
America,アメリカ,America/Port_of_Spain,Port of Spain,Torinidad Tobago,ポートオブスペイン,トリニダード・トバゴ
America,アメリカ,America/Port-au-Prince,Port-au-Prince,Haiti,ポルトープランス,ハイチ
America,アメリカ,America/Porto_Velho,Porto Velho,Brazil,ポルトベリョ,ブラジル
America,アメリカ,America/Puerto_Rico,San Juan,Puerto Rico,サンフアン,プエルトリコ
America,アメリカ,America/Punta_Arenas,Punta Arenas,Chile,プンタ・アレーナス,チリ
America,アメリカ,America/Rainy_River,Rainy River,Canada,レイニーリバー,カナダ
America,アメリカ,America/Rankin_Inlet,Rankin Inlet,Canada,ランキン湾,カナダ
America,アメリカ,America/Recife,Recife,Brazil,レシフェ,ブラジル
America,アメリカ,America/Regina,Regina,Canada,レジャイナ,カナダ
America,アメリカ,America/Resolute,Resolute,Canada,レゾリュート,カナダ
America,アメリカ,America/Rio_Branco,Rio Branco,Brazil,リオブランコ,ブラジル
America,アメリカ,America/Santa_Isabel,Santa Isabel,Mexico,サンタ・イサベル,メキシコ
America,アメリカ,America/Santarem,Santarém,Brazil,サンタレン,ブラジル
America,アメリカ,America/Santiago,Santiago,Chile,サンティアゴ,チリ
America,アメリカ,America/Santo_Domingo,Santo Domingo,Dominican Republic,サントドミンゴ,ドミニカ共和国
America,アメリカ,America/Sao_Paulo,São Paulo,Brazil,サンパウロ,ブラジル
America,アメリカ,America/Scoresbysund,Ittoqqortoormiit,Greenland,イッドコドーミド,グリーンランド
America,アメリカ,America/Shiprock,Shiprock,U.S.A.,シップロック,米国
America,アメリカ,America/Sitka,Sitka,U.S.A.,シトカ,米国
America,アメリカ,America/St_Barthelemy,Gustavia,Saint Barthelemy,グスタビア,サン・バルテルミ
America,アメリカ,America/St_Johns,St. John's,Canada,セントジョンズ,カナダ
America,アメリカ,America/St_Kitts,Basseterre,Saint Kitts and Nevis,バセテール,セントクリストファー・ネイビス
America,アメリカ,America/St_Lucia,Castries,Saint Lucia,カストリーズ,セントルシア
America,アメリカ,America/St_Thomas,Saint Tomas,U.S.Virgin Islands,セント・トーマス島,米領バージン諸島
America,アメリカ,America/St_Vincent,Kingstown,Saint Vincent and the Grenadines,キングスタウン,セントビンセントおよびグレナディーン諸島
America,アメリカ,America/Swift_Current,Swift Current,Canada,スイフトカレント,カナダ
America,アメリカ,America/Tegucigalpa,Tegucigalpa,Honduras,テグシガルパ,ホンジュラス
America,アメリカ,America/Thule,Thule,Greenland,ツーレ,グリーンランド
America,アメリカ,America/Thunder_Bay,Thunder Bay,Canada,サンダーベイ,カナダ
America,アメリカ,America/Tijuana,Tijuana,Mexico,ティフアナ,メキシコ
America,アメリカ,America/Toronto,Toronto,Canada,トロント,カナダ
America,アメリカ,America/Tortola,Road Town,British Virgin Islands,ロードタウン,英領バージン諸島
America,アメリカ,America/Vancouver,Vancouver,Canada,バンクーバー,カナダ
America,アメリカ,America/Whitehorse,Whitehorse,Canada,ホワイトホース,カナダ
America,アメリカ,America/Winnipeg,Winnipeg,Canada,ウィニペグ,カナダ
America,アメリカ,America/Yakutat,Yakutat,U.S.A.,ヤクタット,米国
America,アメリカ,America/Yellowknife,Yellowknife,Canada,イエローナイフ,カナダ
Antarctica,南極,Antarctica/Casey,Casey Station,Antarctica,ケーシー基地,南極
Antarctica,南極,Antarctica/Davis,Davis Station,Antarctica,デービス基地,南極
Antarctica,南極,Antarctica/DumontDUrville,Dumont-d'Urville Station,Antarctica,デュモン・デュルヴィル基地,南極
Antarctica,南極,Antarctica/Macquarie,Macquarie Island Station,Antarctica,マッコーリー島基地,南極
Antarctica,南極,Antarctica/Mawson,Mawson Station,Antarctica,モーソン基地,南極
Antarctica,南極,Antarctica/McMurdo,McMurdo Station,Antarctica,マクマード基地,南極
Antarctica,南極,Antarctica/Palmer,Palmer Station,Antarctica,パーマー基地,南極
Antarctica,南極,Antarctica/Rothera,Rothera Station,Antarctica,ロゼラ基地,南極
Antarctica,南極,Antarctica/South_Pole,South Pole,Antarctica,南極点,南極
Antarctica,南極,Antarctica/Syowa,Syowa Station,Antarctica,昭和基地,南極
Antarctica,南極,Antarctica/Troll,Troll,Antarctica,トロール基地,南極
Antarctica,南極,Antarctica/Vostok,Vostok Station,Antarctica,ボストーク基地,南極
Arctic,北極,Arctic/Longyearbyen,Longyearbyen,Arctic,ロングイェールビーン,北極
Asia,アジア,Asia/Aden,Aden,Yemen,アデン,イエメン
Asia,アジア,Asia/Almaty,Almaty,Kazakhstan,アスタナ,カザフスタン
Asia,アジア,Asia/Amman,Amman,Jordan,アンマン,ヨルダン
Asia,アジア,Asia/Anadyr,Anadyr,Russia,アナディル,ロシア
Asia,アジア,Asia/Aqtau,Aktau,Kazakhstan,アクタウ,カザフスタン
Asia,アジア,Asia/Aqtobe,Aktobe,Kazakhstan,アクトベ,カザフスタン
Asia,アジア,Asia/Ashgabat,Ashgabat,Turkmenistan,アシガバード,トルクメニスタン
Asia,アジア,Asia/Atyrau,Atyrau,Kazakhs,アティラウ,カザフスタン
Asia,アジア,Asia/Baghdad,Baghdad,Iraq,バグダッド,イラク
Asia,アジア,Asia/Bahrain,Manama,Bahrain,マナマ,バーレーン
Asia,アジア,Asia/Baku,Baku,Azerbaijan,バクー,アゼルバイジャン
Asia,アジア,Asia/Bangkok,Bangkok,Thailand,バンコク,タイ
Asia,アジア,Asia/Bangkok,Chiang Mai,Thailand,チェンマイ,タイ
Asia,アジア,Asia/Bangkok,Phuket,Thailand,プーケット,タイ
Asia,アジア,Asia/Bangkok,Pattaya,Thailand,パタヤ,タイ
Asia,アジア,Asia/Barnaul,Barnaul,Russia,バルナウル,ロシア
Asia,アジア,Asia/Beirut,Beirut,Lebanon,ベイルート,レバノン
Asia,アジア,Asia/Bishkek,Bishkek,Kyrgyzstan,ビシケク,キルギスタン
Asia,アジア,Asia/Brunei,Bandar Seri Begawan,Brunei,バンダル・スリ・ブガワン,ブルネイ
Asia,アジア,Asia/Calcutta,Calcutta,India,カルカッタ,インド
Asia,アジア,Asia/Chita,Chita,Russia,チタ,ロシア
Asia,アジア,Asia/Choibalsan,Choibalsan,Mongolia,チョイバルサン,モンゴル
Asia,アジア,Asia/Chongqing,Chongqing,China,重慶,中国
Asia,アジア,Asia/Colombo,Colombo,Sri Lanka,コロンボ,スリランカ
Asia,アジア,Asia/Damascus,Damascus,Syria,ダマスカス,シリア
Asia,アジア,Asia/Dhaka,Dhaka,Bangladesh,ダッカ,バングラデシュ
Asia,アジア,Asia/Dili,Dili,East Timor,ディリ,東チモール
Asia,アジア,Asia/Dubai,Dubai,U.A.E.,ドバイ,U.A.E.
Asia,アジア,Asia/Dushanbe,Dushanbe,Tajikistan,ドゥシャンベ,タジキスタン
Asia,アジア,Asia/Famagusta,Famagusta,Cyprus,ファマグスタ,キプロス
Asia,アジア,Asia/Gaza,Gaza,Palestinian Territories,ガザ,パレスチナ
Asia,アジア,Asia/Harbin,Harbin,China,ハルビン,中国
Asia,アジア,Asia/Hebron,Hebron,Palestinian Territories,ヘブロン,パレスチナ
Asia,アジア,Asia/Ho_Chi_Minh,Ho Chi Minh City,Vietnam,ホーチミン,ベトナム
Asia,アジア,Asia/Ho_Chi_Minh,Hanoi,Vietnam,ハノイ,ベトナム
Asia,アジア,Asia/Hong_Kong,Hong Kong,Hong Kong,香港,香港
Asia,アジア,Asia/Hovd,Hovd,Mongolia,ホフト,モンゴル
Asia,アジア,Asia/Irkutsk,Irkutsk,Russia,イルクーツク,ロシア
Asia,アジア,Asia/Jakarta,Jakarta,Indonesia,ジャカルタ,インドネシア
Asia,アジア,Asia/Jayapura,Jayapura,Indonesia,ジャヤプラ,インドネシア
Asia,アジア,Asia/Jerusalem,Jerusalem,Israelis,エルサレム,イスラエル
Asia,アジア,Asia/Jerusalem,Jerusalem,Palestinians,エルサレム,パレスチナ
Asia,アジア,Asia/Kabul,Kabul,Afghanistan,カブール,アフガニスタン
Asia,アジア,Asia/Kamchatka,Petropavlovsk-Kamchatskiy,Russia,ペトロパブロフスク・カムチャツキー,ロシア
Asia,アジア,Asia/Karachi,Karachi,Pakistan,カラチ,パキスタン
Asia,アジア,Asia/Kashgar,Kashgar,China,カシュガル,中国
Asia,アジア,Asia/Kathmandu,Kathmandu,Nepal,カトマンズ,ネパール
Asia,アジア,Asia/Katmandu,Kathmandu,Nepal,カトマンズ,ネパール
Asia,アジア,Asia/Khandyga,Khandyga,Russia,ハンドゥイガ,ロシア
Asia,アジア,Asia/Calcutta,Kolkata,India,コルカタ,インド
Asia,アジア,Asia/Krasnoyarsk,Krasnoyarsk,Russia,クラスノヤルスク,ロシア
Asia,アジア,Asia/Kuala_Lumpur,Kuala Lumpur,Malaysia,クアラルンプール,マレーシア
Asia,アジア,Asia/Kuching,Kuching,Malaysia,クチン,マレーシア
Asia,アジア,Asia/Kuching,Kota Kinabalu,Malaysia,コタキナバル,マレーシア
Asia,アジア,Asia/Kuwait,Kuwait,Kuwait,クウェート,クウェート
Asia,アジア,Asia/Macau,Macau,Macau,マカオ,マカオ
Asia,アジア,Asia/Magadan,Magadan,Russia,マガダン,ロシア
Asia,アジア,Asia/Makassar,Makassar,Indonesia,マカッサル,インドネシア
Asia,アジア,Asia/Makassar,Denpasar,Indonesia,デンパサール,インドネシア
Asia,アジア,Asia/Makassar,Bali,Indonesia,バリ,インドネシア
Asia,アジア,Asia/Manila,Manila,Philippines,マニラ,フィリピン
Asia,アジア,Asia/Muscat,Muscat,Oman,マスカット,オマーン
Asia,アジア,Asia/Nicosia,Nicosia,Cyprus,ニコシア,キプロス
Asia,アジア,Asia/Novokuznetsk,Novokuznetsk,Russia,ノボクズネツク,ロシア
Asia,アジア,Asia/Novosibirsk,Novosibirsk,Russia,ノボシビルスク,ロシア
Asia,アジア,Asia/Omsk,Omsk,Russia,オムスク,ロシア
Asia,アジア,Asia/Oral,Oral,Kazakhstan,オラル,カザフスタン
Asia,アジア,Asia/Phnom_Penh,Phnom Penh,Cambodia,プノンペン,カンボジア
Asia,アジア,Asia/Phnom_Penh,Siem Reap,Cambodia,シェムリアップ,カンボジア
Asia,アジア,Asia/Pontianak,Pontianak,Indonesia,ポンティアナク,インドネシア
Asia,アジア,Asia/Pyongyang,Pyongyang,Democratic People's Republic of Korea,平壌,朝鮮民主主義人民共和国
Asia,アジア,Asia/Qatar,Doha,Qatar,ドーハ,カタール
Asia,アジア,Asia/Qyzylorda,Kyzylorda,Kazakhstan,クズロルダ,カザフスタン
Asia,アジア,Asia/Rangoon,Rangoon,Burma,ラングーン,ミャンマー
Asia,アジア,Asia/Riyadh,Riyadh,Saudi Arabia,リヤド,サウジアラビア
Asia,アジア,Asia/Sakhalin,Yuzhno-Sakhalinsk,Russia,ユジノサハリンスク,ロシア
Asia,アジア,Asia/Samarkand,Samarkand,Uzbekistan,サマルカンド,ウズベキスタン
Asia,アジア,Asia/Seoul,Seoul,South Korea,ソウル,韓国
Asia,アジア,Asia/Seoul,Busan,South Korea,釜山,韓国
Asia,アジア,Asia/Shanghai,Shanghai,China,上海,中国
Asia,アジア,Asia/Shanghai,Xiamen,China,アモイ,中国
Asia,アジア,Asia/Shanghai,Qingdao,China,青島,中国
Asia,アジア,Asia/Shanghai,Guangzhou,China,広州,中国
Asia,アジア,Asia/Shanghai,Beijing,China,北京,中国
Asia,アジア,Asia/Shanghai,Dalian,China,大連,中国
Asia,アジア,Asia/Singapore,Singapore,Singapore,シンガポール,シンガポール
Asia,アジア,Asia/Srednekolymsk,Srednekolymsk,Russia,スレドネコリムスク,ロシア
Asia,アジア,Asia/Taipei,Taipei,Taiwan,台北,台湾
Asia,アジア,Asia/Taipei,Tainan,Taiwan,台南,台湾
Asia,アジア,Asia/Taipei,Kaohsiung,Taiwan,高雄,台湾
Asia,アジア,Asia/Tashkent,Tashkent,Uzbekistan,タシケント,ウズベキスタン
Asia,アジア,Asia/Tbilisi,Tbilisi,Georgia,トビリシ,グルジア
Asia,アジア,Asia/Tehran,Tehran,Iran,テヘラン,イラン
Asia,アジア,Asia/Thimphu,Thimphu,Bhutan,ティンプー,ブータン
Asia,アジア,Asia/Tokyo,Tokyo,Japan,東京,日本
Asia,アジア,Asia/Tokyo,Osaka,Japan,大阪,日本
Asia,アジア,Asia/Tomsk,Tomsk,Russia,トムスク,ロシア
Asia,アジア,Asia/Ulaanbaatar,Ulaanbaatar,Mongolia,ウランバートル,モンゴル
Asia,アジア,Asia/Urumqi,Urumqi,China,ウルムチ,中国
Asia,アジア,Asia/Ust-Nera,Ust-Nera,Russia,ウスチ＝ネラ ,ロシア
Asia,アジア,Asia/Vientiane,Vientiane,Laos,ヴィエンチャン,ラオス
Asia,アジア,Asia/Vladivostok,Vladivostok,Russia,ウラジオストク,ロシア
Asia,アジア,Asia/Yakutsk,Yakutsk,Russia,ヤクーツク,ロシア
Asia,アジア,Asia/Yangon,Yangon,Myanmar,ヤンゴン,ミャンマー
Asia,アジア,Asia/Yekaterinburg,Yekaterinburg,Russia,エカテリンブルク,ロシア
Asia,アジア,Asia/Yerevan,Yerevan,Armenia,エレバン,アルメニア
Atlantic,大西洋,Atlantic/Azores,Ponta Delgada,Azores,ポンタ・デルガダ,アゾレス自治地域
Atlantic,大西洋,Atlantic/Bermuda,Hamilton,Bermuda,ハミルトン,バーミューダ
Atlantic,大西洋,Atlantic/Canary,Las Palmas de Gran Canaria,Spain,ラス・パルマス・デ・グラン・カナリア,スペイン
Atlantic,大西洋,Atlantic/Cape_Verde,Praia,Cape Verde,プライア,カーボベルデ
